A:char(25)	B:char(25)	C:int	D:int	E:char(25)
North_Carolina	DOMINICAN_REPUBLIC	0	37	Dogfish
Wyoming	Vatican_City	6	31	Prionace_glauca
West_Virginia	MARSHALL_ISLANDS	9	67	Swan
Michigan	Samoa	5	79	Moose
Oklahoma	Sudan	0	73	Pelican
Kentucky	Alaska	1	13	Cirrhoscyllium
Pennsylvania	Tanzania	4	7	Swallow
Massachusetts	Sudan	4	1	Hemiscyllium
Oregon	Ireland	9	81	Goldfinch
New_Hampshire	New_Mexico	5	98	Coyote
Nevada	Alaska	9	2	Sphyrna_lewini
Missouri	Slovenia	0	78	Lamniformes
Alaska	Luxembourg	2	72	Scoliodon
Delaware	Turkey	0	43	Poroderma
Delaware	Ghana	5	25	Badger
New_Hampshire	Texas	5	63	Pygmy_Shark
Louisiana	Tanzania	5	34	Reindeer
North_Carolina	Canada	3	75	Gazelle
New_York	Pennsylvania	2	6	Nightingale
North_Dakota	Madagascar	5	59	Prionace
Alaska	WESTERN_SAHARA	0	29	Badger
Hawaii	Turkey	6	95	Hemiscyllium
Colorado	Romania	7	6	Sheep
Vermont	New_Mexico	4	61	Flamingo
Missouri	Wyoming	9	1	Hawk
California	Romania	9	0	Pelican
Hawaii	New_Jersey	0	80	Parmaturus
Michigan	Oregon	7	84	Polecat
Mississippi	Oregon	2	96	Columbidae
Tennessee	Missouri	5	59	Whale_Shark
Mississippi	Australia	1	63	Dogfish
Kentucky	Romania	0	61	Jackal
Illinois	Oregon	4	76	Fox
Kansas	Tennessee	0	68	Fish
Connecticut	Sudan	1	20	Cheetah
Virginia	Wyoming	5	24	Goldfinch
Maine	Greece	6	39	Fish
New_Hampshire	Lithuania	8	49	Chiloscyllium
Kentucky	Jordan	5	71	Flamingo
Washington	Thailand	5	84	Coyote
Colorado	New_Jersey	1	24	Cheetah
Kentucky	Sudan	2	87	Fox
Mississippi	Alabama	1	35	Reindeer
Ohio	Hawaii	7	85	Scoliodon
Nevada	Greece	1	99	Hornet
Texas	Virginia	2	53	Mallard
South_Carolina	Nauru	1	96	Crow
Arizona	Jordan	1	77	Ram
Virginia	Croatia	8	5	Prionace_glauca
California	Rhode_Island	2	11	Skunk
North_Dakota	Massachusetts	4	70	Sheep
New_Mexico	California	8	78	Otter
Oklahoma	Slovenia	1	79	Nightingale
Wisconsin	WESTERN_SAHARA	0	82	Alligator
Massachusetts	Grenada	3	11	Whale_Shark
Delaware	Australia	5	62	Otter
Mississippi	California	1	59	Orectolobus
South_Carolina	Illinois	3	74	Manatee
