A:char(25)	B:char(25)	C:int	D:int	E:char(25)
New_York	New_Mexico	37	75	Isurus
Louisiana	Slovakia	36	1	Mule
North_Dakota	Namibia	31	24	Triakis
Oklahoma	Minnesota	36	23	Hamster
Mississippi	EL_SALVADOR	34	96	Columbidae
Indiana	Dominica	31	98	Hyena
New_Jersey	Sweden	33	41	Lamniformes
Mississippi	NEW_ZEALAND	34	60	Skunk
Wyoming	Maine	35	86	Pony
Illinois	Alaska	34	47	Bullhead_shark
Vermont	Rhode_Island	37	11	Bison
Arkansas	Maine	37	21	Parascyllium
Nebraska	Netherlands	34	46	Dolphin
New_Mexico	California	37	44	Heron
Michigan	Wyoming	38	93	Partridge
New_Mexico	Ghana	30	13	Scoliodon
Florida	DOMINICAN_REPUBLIC	36	25	Chiloscyllium
Arkansas	NEW_ZEALAND	10	71	Pygmy_Shark
Indiana	Denmark	34	90	Swallow
Delaware	Samoa	10	98	Quail
Louisiana	Samoa	39	82	Baboon
Nebraska	Netherlands	31	44	Negaprion
Michigan	Maine	32	78	Mouse
Hawaii	COSTA_RICA	36	19	Flamingo
Michigan	Massachusetts	31	40	Gerbil
Minnesota	Rhode_Island	34	28	Hemiscyllium
Oklahoma	Finland	31	19	Fish
Colorado	Nebraska	39	36	Fox
Louisiana	Italy	34	29	Wombat
Michigan	New_Jersey	33	72	Dogfish
North_Dakota	Oregon	33	72	Parmaturus
Massachusetts	Uzbekistan	36	57	Alligator
Colorado	CZECH_REPUBLIC	30	37	Negaprion
Rhode_Island	Colombia	35	53	Isurus
California	TRINIDAD_AND_TOBAGO	35	55	Mule
Nebraska	Illinois	37	69	American_Bison
Wyoming	Tennessee	38	90	Rhizoprionodon
Missouri	EQUATORIAL_GUINEA	34	86	Bison
Arizona	Pennsylvania	37	70	Zebra
Mississippi	Greece	36	16	Beaver
Arkansas	North_Carolina	31	16	Cobra
Connecticut	Oregon	32	85	Triakis
Massachusetts	South_Carolina	35	38	Mallard
Florida	Colombia	30	63	Swan
Minnesota	Zambia	33	68	Angel_shark
Arkansas	Morocco	30	40	Guanaco
New_York	Finland	30	94	Goldfinch
Oregon	CZECH_REPUBLIC	32	77	Parmaturus
Illinois	Pennsylvania	32	91	Chiloscyllium
New_Mexico	Jordan	33	66	Dolphin
North_Carolina	Virginia	35	31	Sheep
Oregon	Zambia	39	96	Swan
Washington	Florida	36	81	Wren
Mississippi	Samoa	39	57	Gazelle
Rhode_Island	Japan	31	21	Rhizoprionodon
Maine	Jordan	36	3	Black_panther
Connecticut	Canada	32	70	Human
Hawaii	Ghana	34	5	Columbidae
Utah	New_Mexico	10	22	Coyote
Tennessee	WESTERN_SAHARA	34	75	Hamster
Montana	MARSHALL_ISLANDS	31	37	Hornet
Alaska	Greece	38	58	Hyena
Missouri	Guatemala	38	37	Hyena
South_Carolina	Alaska	32	47	Apristurus
West Virginia	Massachusetts	37	43	Partridge
Wyoming	Uzbekistan	33	21	Gazelle
Virginia	Ethiopia	34	59	Parascyllium
Michigan	Ireland	39	68	Sheep
Minnesota	Latvia	39	19	Rhizoprionodon
Maine	Morocco	34	33	Carcharhinus
Oklahoma	Monaco	10	52	Moose
Georgia	Texas	33	99	Magpie
Alabama	Croatia	31	39	Sheep
New_Jersey	Netherlands	30	7	Gerbil
Georgia	DOMINICAN_REPUBLIC	37	25	Partridge
Virginia	Saudi_Arabia	32	2	Donkey
South_Dakota	Singapore	36	39	Badger
Arkansas	Italy	35	35	Rhizoprionodon
Indiana	Cyprus	38	95	Skunk
Kansas	Louisiana	38	76	Orectolobus
Minnesota	Switzerland	37	26	Fish
Minnesota	Maine	36	55	Cormorant
South_Dakota	Nebraska	38	54	Jaguar
South_Dakota	Vatican_City	36	69	Gorilla
North_Dakota	Missouri	32	38	Pinniped
Iowa	Samoa	31	83	Flamingo
Mississippi	New_Mexico	37	16	Sawshark
Arizona	Washington	36	78	Goldfinch
Colorado	Sudan	35	16	Raven
Minnesota	COSTA_RICA	36	22	Magpie
Florida	Croatia	37	41	American_Bison
West Virginia	Taiwan	33	71	Black_panther
California	Saudi_Arabia	34	38	Badger
Georgia	NEW_ZEALAND	32	11	Jaguar
New_Mexico	Taiwan	31	51	Cobra
Iowa	Lithuania	36	23	Nightingale
Montana	Cyprus	38	60	Swan
Indiana	Arizona	30	52	Squaliformes
Utah	France	35	88	Pinniped
Florida	North_Carolina	10	22	Echinorhinus
New_Hampshire	Ethiopia	35	15	Bison
North_Carolina	Jordan	36	71	Negaprion
Connecticut	Rhode_Island	36	50	Hemiscyllium
Indiana	Sudan	32	66	American_Bison
West Virginia	Illinois	34	88	Mallard
New_Hampshire	Finland	38	69	Snipe
Arkansas	Sudan	35	53	Human
Massachusetts	Uruguay	37	77	Gorilla
Massachusetts	Uzbekistan	33	91	Lamna
Minnesota	Nepal	33	10	Rhinoceros
California	Italy	39	84	Orectolobus
New_Jersey	Tuvalu	38	27	Sphyrna_lewini
Delaware	Zambia	32	94	Pelican
Montana	Zimbabwe	31	2	Dolphin
Missouri	North_Carolina	30	71	Bison
North_Dakota	Guatemala	10	52	Zebra
Alabama	Sweden	35	29	Triaenodon
Alaska	Namibia	37	85	Angel_shark
Montana	Virginia	36	82	Otter
Hawaii	Namibia	37	18	Moose
Vermont	South_Carolina	35	20	Cormorant
Alabama	Ukraine	10	23	Ram
Alaska	Nebraska	32	39	Giant_Panda
Tennessee	DOMINICAN_REPUBLIC	32	57	Lamna
Tennessee	Washington	38	87	Lion
California	Australia	10	74	Scoliodon
Arkansas	France	36	48	Goldfinch
Utah	Monaco	34	96	Triakis
Arkansas	Illinois	35	59	Human
